Iteration,PositiveHeat,NegativeHeat,CellCount,IterationAverageNeighbours,IterationDensity
1,80,48,187,2.566845,0.25651577
2,86,96,219,3.0319636,0.27969348
3,80,48,209,2.5454545,0.24851367
4,76,80,241,2.8713694,0.26807564
5,76,50,237,2.514768,0.2466181
6,84,92,263,2.8136883,0.257087
7,84,52,255,2.5254903,0.23415978
8,80,80,287,2.7456446,0.24848485
9,80,54,287,2.4947736,0.23428571
10,88,92,313,2.6964855,0.24169885
11,88,56,309,2.4983819,0.2257122
12,84,80,341,2.6392963,0.23631324
13,84,58,345,2.4695652,0.22682446
14,92,92,371,2.5983827,0.23202
15,92,60,371,2.4690027,0.22070196
16,88,80,403,2.5508685,0.22858763
17,88,62,411,2.4428225,0.22228232
18,96,92,437,2.5171626,0.2258398
19,96,64,441,2.4399092,0.21777777
20,92,80,473,2.4778013,0.22364067
21,92,66,485,2.4164948,0.21955636
22,100,92,511,2.4500978,0.2218845
23,100,68,519,2.4123313,0.21615994
24,96,80,551,2.4174228,0.22048819
25,96,70,567,2.3915343,0.21799308
26,104,92,593,2.3946037,0.21938586
27,104,72,605,2.386777,0.21537913
28,100,80,637,2.367347,0.21852487
29,100,74,657,2.368341,0.21719009
30,108,92,683,2.3484626,0.21786284
31,108,76,699,2.3633761,0.21514311
32,104,80,731,2.3255813,0.21736544
33,104,78,755,2.34702,0.21689169
34,112,92,781,2.309859,0.21700472
35,112,80,801,2.3420725,0.21526471
36,108,80,833,2.2905161,0.21675774
37,108,82,861,2.327526,0.21693122
38,116,92,887,2.2773395,0.21660562
39,116,84,911,2.3227222,0.21562131
40,112,80,943,2.2608695,0.21653272
41,112,86,975,2.3097436,0.2171976
42,120,92,1001,2.2497501,0.21652606
43,120,88,1029,2.3051507,0.21613106
44,116,80,1061,2.2356267,0.21657482
45,116,90,1097,2.2935278,0.21761556
46,124,92,1123,2.2261798,0.21666989
47,124,92,1155,2.2891774,0.2167386
48,120,80,1187,2.2139847,0.21680366
49,120,94,1227,2.2787287,0.21813333
50,128,92,1253,2.205906,0.2169697
51,128,96,1289,2.2746315,0.21740597
52,124,80,1321,2.1953065,0.21716258
53,124,98,1365,2.2652016,0.21871495
54,132,92,1391,2.1883538,0.21737772
55,132,100,1431,2.2613556,0.218107
56,128,80,1463,2.179084,0.21761118
57,128,102,1511,2.2528126,0.21933517
58,136,92,1537,2.1730645,0.21785967
59,136,104,1581,2.2492094,0.21882352
60,132,80,1613,2.16491,0.21812035
61,132,106,1665,2.2414415,0.21997622
62,140,92,1691,2.159669,0.21839081
63,140,108,1739,2.2380679,0.21954298
64,136,80,1771,2.1524563,0.21866897
65,136,110,1827,2.2309797,0.22062553
66,144,92,1853,2.1478684,0.21895309
67,144,112,1905,2.2278216,0.22025667
68,140,80,1937,2.141456,0.21924165
69,140,114,1997,2.221332,0.22127424
70,148,92,2023,2.1374197,0.21953337
71,148,116,2079,2.2183743,0.22095865
72,144,80,2111,2.1316912,0.21982713
73,144,118,2175,2.2124138,0.22191612
74,152,92,2201,2.1281235,0.22012201
75,152,120,2261,2.2096417,0.22164494
76,148,80,2293,2.122983,0.22041719
77,148,122,2361,2.2041507,0.22254689
78,156,92,2387,2.1198156,0.22071198
79,156,124,2451,2.2015505,0.22231293
80,152,80,2483,2.1151834,0.22100578
81,152,126,2555,2.1964774,0.22316359
82,160,92,2581,2.1123595,0.22129813
83,160,128,2649,2.1940355,0.22296102
84,156,80,2681,2.1081686,0.22158857
85,156,130,2757,2.1893363,0.2237643
86,164,92,2783,2.1056414,0.22187674
87,164,132,2855,2.1870403,0.22358838
88,160,80,2887,2.1018357,0.22216237
89,160,134,2967,2.182676,0.22434783
90,168,92,2993,2.0995657,0.22244519
91,168,136,3069,2.1805148,0.22419462
92,164,80,3101,2.096098,0.22272499
93,164,138,3185,2.1764522,0.2249135
94,172,92,3211,2.0940516,0.2230016
95,172,140,3291,2.174415,0.22477973
96,168,80,3323,2.0908818,0.22327487
97,168,142,3411,2.1706245,0.22546104
98,176,92,3437,2.0890312,0.22354472
99,176,144,3521,2.1687021,0.225344
100,172,80,3553,2.0861244,0.22381103
101,172,146,3645,2.1651578,0.22599046
102,180,92,3671,2.0844457,0.22407374
103,180,148,3759,2.1633413,0.22588786
104,176,80,3791,2.0817726,0.2243328
105,176,150,3887,2.1600206,0.22650196
106,184,92,3913,2.0802453,0.22458819
107,184,152,4005,2.158302,0.2264119
108,180,80,4037,2.0777805,0.22483988
109,180,154,4137,2.155185,0.22699589
110,188,92,4163,2.0763872,0.22508787
111,188,156,4259,2.153557,0.22691673
112,184,80,4291,2.0741086,0.22533214
113,184,158,4395,2.1506257,0.2274727
114,192,92,4421,2.0728343,0.22557274
115,192,160,4521,2.149082,0.22740304
116,188,80,4553,2.0707226,0.22580965
117,188,162,4661,2.1463206,0.2279329
118,196,92,4687,2.069554,0.22604293
119,196,164,4791,2.144855,0.22787158
120,192,80,4823,2.0675929,0.22627258
121,192,166,4935,2.1422493,0.22837706
122,200,92,4961,2.0665188,0.22649865
123,200,168,5069,2.1408563,0.22832304
124,196,80,5101,2.0646932,0.22672118
125,196,170,5217,2.1383936,0.22880575
126,204,92,5243,2.063704,0.22694023
127,204,172,5355,2.1370683,0.22875817
128,200,80,5387,2.0620012,0.2271558
129,200,174,5507,2.1347375,0.22921956
130,208,92,5533,2.061088,0.22736798
131,208,176,5649,2.133475,0.22917765
132,204,80,5681,2.0594966,0.2275768
133,204,178,5805,2.131266,0.22961909
134,212,92,5831,2.058652,0.22778234
135,212,180,5951,2.130062,0.22958219
136,208,80,5983,2.057162,0.2279846
137,208,182,6111,2.127966,0.23000489
138,216,92,6137,2.0563793,0.22818367
139,216,184,6261,2.1268167,0.22997245
140,212,80,6293,2.0549817,0.2283796
141,212,186,6425,2.124825,0.23037757
142,220,92,6451,2.0542552,0.22857244
143,220,188,6579,2.123727,0.23034908
144,216,80,6611,2.052942,0.22876224
145,216,190,6747,2.121832,0.23073766
146,224,92,6773,2.0522664,0.22894906
147,224,192,6905,2.1207821,0.23071268
148,220,80,6937,2.0510306,0.22913295
149,220,194,7077,2.118977,0.23108572
150,228,92,7103,2.0504012,0.22931397
151,228,196,7239,2.1179721,0.23106387
152,224,80,7271,2.0492368,0.22949216
153,224,198,7415,2.1162508,0.23142225
154,232,92,7441,2.0486493,0.22966759
155,232,200,7581,2.1152883,0.23140319
156,228,80,7613,2.0475502,0.2298403
157,228,202,7761,2.113645,0.23174773
158,236,92,7787,2.0470014,0.23001035
159,236,204,7931,2.1127222,0.23173119
160,232,80,7963,2.0459626,0.23017778
161,232,206,8115,2.1111522,0.23206268
162,240,92,8141,2.045449,0.23034264
163,240,208,8289,2.1102667,0.23204838
164,236,80,8321,2.0444658,0.230505
165,236,210,8477,2.108765,0.23236753
166,244,92,8503,2.0439844,0.2306649
167,244,212,8655,2.1079144,0.23235524
168,240,80,8687,2.043053,0.23082237
169,240,214,8847,2.1064768,0.23266272
170,248,92,8873,2.042601,0.23097748
171,248,216,9029,2.1056595,0.23265222
172,244,80,9061,2.0417173,0.23113027
173,244,218,9225,2.104282,0.23294866
174,252,92,9251,2.041293,0.23128079
175,252,220,9411,2.1034958,0.23293978
176,248,80,9443,2.0404532,0.23142906
177,248,222,9611,2.1021745,0.23322575
178,256,92,9637,2.0400538,0.23157515
179,256,224,9801,2.1014183,0.23321833
180,252,80,9833,2.0392556,0.2317191
181,252,226,10005,2.1001499,0.23349437
182,260,92,10031,2.0388794,0.23186095
183,260,228,10199,2.0994215,0.23348825
184,256,80,10231,2.0381196,0.23200072
185,256,230,10407,2.0982032,0.23375486
186,264,92,10433,2.0377648,0.23213848
187,264,232,10605,2.0975013,0.23374991
188,260,80,10637,2.0370405,0.23227426
189,260,234,10817,2.09633,0.23400757
190,268,92,10843,2.0367057,0.2324081
