Iteration,PositiveHeat,NegativeHeat,CellCount,IterationAverageNeighbours,IterationDensity
1,288,824,984,0.78252035,0.0984
2,167,242,448,2.28125,0.0448
3,107,141,373,2.1072385,0.037676767
4,103,120,339,2.4837759,0.034588307
5,93,91,322,2.2857144,0.032525253
6,75,89,324,2.5123458,0.03272727
7,98,70,310,2.2064517,0.031
8,84,108,338,2.7869823,0.0338
9,93,77,314,2.2611465,0.031089108
10,88,95,330,2.6424243,0.03334007
11,93,78,323,2.495356,0.03295582
12,107,110,338,2.6627219,0.034838177
13,117,89,335,2.2925372,0.034180187
14,110,118,363,2.600551,0.037414964
15,108,104,355,2.371831,0.036220793
16,116,119,359,2.4735377,0.03700268
17,111,92,356,2.3258426,0.036322825
18,103,135,375,2.7093334,0.038651824
19,116,92,343,2.2215743,0.034996428
20,108,113,367,2.5558584,0.037827253
21,120,100,362,2.3314917,0.036935005
22,130,132,382,2.5863874,0.038975615
23,143,119,380,2.3473685,0.038383838
24,129,122,404,2.470297,0.04080808
25,138,128,411,2.5401459,0.04110411
26,149,130,421,2.4370546,0.042525254
27,143,165,440,2.6954546,0.0440044
28,181,153,418,2.3732057,0.04264871
29,152,195,446,2.7399104,0.045050506
30,160,130,403,2.3325062,0.04070707
31,170,141,433,2.5727482,0.04330433
32,147,143,462,2.5974026,0.04620462
33,148,131,466,2.5150216,0.046147753
34,166,184,483,2.6542444,0.04830483
35,170,141,465,2.3354838,0.045601647
36,148,214,494,2.8380566,0.04892058
37,161,149,428,2.32243,0.041569542
38,162,157,440,2.5863636,0.043149944
39,144,136,445,2.4853933,0.042809043
40,168,140,453,2.4988964,0.043578643
41,155,174,481,2.7650728,0.045835715
42,176,164,462,2.5238094,0.044444446
43,182,166,474,2.5991561,0.045168668
44,161,159,490,2.555102,0.046693347
45,175,146,492,2.4837399,0.046445765
46,178,186,521,2.6833014,0.048728023
47,171,183,513,2.6120858,0.047539618
48,180,165,501,2.459082,0.046427578
49,181,175,516,2.5891473,0.047817625
50,195,164,522,2.4789271,0.047933884
51,194,225,553,2.813743,0.05078053
52,207,159,522,2.3793104,0.04750205
53,176,233,570,2.8596492,0.05187005
54,177,155,513,2.3703704,0.0458568
55,175,227,535,2.766355,0.047823366
56,166,163,483,2.3022773,0.042424243
57,171,165,486,2.5144033,0.042687748
58,172,160,492,2.4837399,0.04359383
59,165,198,504,2.6984127,0.045052294
60,169,159,471,2.373673,0.04210244
61,178,168,481,2.5031185,0.04338023
62,178,176,491,2.598778,0.045500882
63,149,181,493,2.6450305,0.04568622
64,166,122,461,2.3036876,0.042332415
65,155,150,505,2.6970296,0.045955047
66,177,169,510,2.6039217,0.04599567
67,171,188,518,2.6563706,0.04671717
68,175,155,501,2.4111776,0.045183983
69,176,184,521,2.6180422,0.046987735
70,182,155,513,2.4132555,0.0458568
71,193,167,540,2.6,0.04784689
